country,Measure Names,reg_area_cod,reg_gear_cod,species,specon,vessel length,year,Measure Values
ESP,discards,8C-9A,POTS,SYC,NONE,O10T15M,2015,
ESP,discards,8C-9A,PEL_SEINE,SYC,NONE,O10T15M,2015,
ESP,discards,8C-9A,GILL,SYC,NONE,O10T15M,2015,
ESP,discards,8C-9A,3T,SYC,NONE,O10T15M,2015,
ESP,discards,8C-9A,3T,SYC,NONE,NONE,2015,
ESP,discards,8C-9A,3C,SYC,NONE,O15M,2015,
ESP,discards,8C-9A,3C,SYC,NONE,O10T15M,2015,
ESP,discards,8C-9A,3C,SYC,IIB72AB,O10T15M,2015,
ESP,discards,8C-9A,3B,SYC,NONE,U10M,2015,
ESP,discards,8C-9A,3B,SYC,NONE,O15M,2015,
ESP,discards,8C-9A,3B,SYC,NONE,O10T15M,2015,
ESP,discards,8C-9A,3B,SYC,NONE,NONE,2015,
ESP,discards,8C-9A,3A,SYC,NONE,O15M,2015,
ESP,discards,8C-9A,3A,SYC,NONE,O10T15M,2015,
ESP,discards,8C-9A,3A,SYC,NONE,NONE,2015,
ESP,discards,8C-9A,3B,SWR,NONE,O10T15M,2015,
FRA,discards,8C-9A,PEL_TRAWL,SWO,NONE,O15M,2015,
PRT,discards,8C-9A,3C,SWO,NONE,O15M,2015,
FRA,discards,8C-9A,3C,SWO,NONE,O15M,2015,
PRT,discards,8C-9A,3C,SWO,IIB72AB,O15M,2015,
PRT,discards,8C-9A,3A,SWO,NONE,O15M,2015,0
ESP,discards,8C-9A,POTS,SWA,NONE,O10T15M,2015,
ESP,discards,8C-9A,PEL_SEINE,SWA,NONE,U10M,2015,
ESP,discards,8C-9A,PEL_SEINE,SWA,NONE,O15M,2015,
ESP,discards,8C-9A,PEL_SEINE,SWA,NONE,O10T15M,2015,
ESP,discards,8C-9A,PEL_SEINE,SWA,NONE,NONE,2015,
ESP,discards,8C-9A,GILL,SWA,NONE,O10T15M,2015,
ESP,discards,8C-9A,GILL,SWA,NONE,NONE,2015,
ESP,discards,8C-9A,DREDGE,SWA,NONE,O10T15M,2015,
ESP,discards,8C-9A,DEM_SEINE,SWA,NONE,O10T15M,2015,
ESP,discards,8C-9A,BEAM,SWA,NONE,O10T15M,2015,
ESP,discards,8C-9A,3T,SWA,NONE,O15M,2015,
ESP,discards,8C-9A,3T,SWA,NONE,O10T15M,2015,
ESP,discards,8C-9A,3T,SWA,NONE,NONE,2015,
ESP,discards,8C-9A,3C,SWA,NONE,O15M,2015,
ESP,discards,8C-9A,3C,SWA,NONE,O10T15M,2015,
ESP,discards,8C-9A,3C,SWA,NONE,NONE,2015,
ESP,discards,8C-9A,3B,SWA,NONE,U10M,2015,
ESP,discards,8C-9A,3B,SWA,NONE,O15M,2015,
ESP,discards,8C-9A,3B,SWA,NONE,O10T15M,2015,
