country,Measure Names,reg_area_cod,reg_gear_cod,species,specon,vessel length,year,Measure Values
FRA,discards,7E,POTS,TPS,NONE,O10T15M,2015,
FRA,discards,7E,DREDGE,TPS,NONE,U10M,2015,
FRA,discards,7E,DREDGE,TPS,NONE,O15M,2015,
FRA,discards,7E,DREDGE,TPS,NONE,O10T15M,2015,
FRA,discards,7E,3B,TPS,NONE,O10T15M,2015,
FRA,discards,7E,OTTER,TJX,NONE,O15M,2015,
ENG,discards,7E,PEL_TRAWL,THR,NONE,O10T15M,2015,
ENG,discards,7E,LONGLINE,THR,NONE,U10M,2015,
ENG,discards,7E,POTS,SYX,NONE,U10M,2015,
ENG,discards,7E,OTTER,SYX,NONE,U10M,2015,
GBG,discards,7E,OTTER,SYX,NONE,O10T15M,2015,
ENG,discards,7E,OTTER,SYX,NONE,O10T15M,2015,
ENG,discards,7E,GILL,SYX,NONE,U10M,2015,
ENG,discards,7E,3B,SYX,NONE,U10M,2015,
ENG,discards,7E,3B,SYX,NONE,O10T15M,2015,
ENG,discards,7E,3A,SYX,NONE,O15M,2015,
BEL,discards,7E,OTTER,SYT,NONE,O15M,2015,
ENG,discards,7E,3A,SYT,NONE,O15M,2015,21.255
BEL,discards,7E,3A,SYT,NONE,O15M,2015,
ENG,discards,7E,TRAMMEL,SYC,NONE,O15M,2015,
ENG,discards,7E,POTS,SYC,NONE,U10M,2015,
ENG,discards,7E,POTS,SYC,NONE,O10T15M,2015,
ENG,discards,7E,OTTER,SYC,NONE,U10M,2015,203.686
GBJ,discards,7E,OTTER,SYC,NONE,O15M,2015,168.726
ENG,discards,7E,OTTER,SYC,NONE,O15M,2015,63.573
GBG,discards,7E,OTTER,SYC,NONE,O10T15M,2015,81.857
ENG,discards,7E,OTTER,SYC,NONE,O10T15M,2015,1977.316
ENG,discards,7E,LONGLINE,SYC,NONE,U10M,2015,
ENG,discards,7E,GILL,SYC,NONE,U10M,2015,
ENG,discards,7E,GILL,SYC,NONE,O15M,2015,
ENG,discards,7E,DREDGE,SYC,NONE,O15M,2015,
ENG,discards,7E,DREDGE,SYC,NONE,O10T15M,2015,
NLD,discards,7E,DEM_SEINE,SYC,NONE,O15M,2015,
ENG,discards,7E,DEM_SEINE,SYC,NONE,O15M,2015,
ENG,discards,7E,BEAM,SYC,NONE,O15M,2015,
GBJ,discards,7E,3B,SYC,NONE,U10M,2015,
ENG,discards,7E,3B,SYC,NONE,U10M,2015,0
ENG,discards,7E,3B,SYC,NONE,O15M,2015,
ENG,discards,7E,3B,SYC,NONE,O10T15M,2015,
ENG,discards,7E,3A,SYC,NONE,O15M,2015,1025.994
FRA,discards,7E,PEL_TRAWL,SWX,NONE,O10T15M,2015,
FRA,discards,7E,NONE,SWX,NONE,O10T15M,2015,
FRA,discards,7E,DREDGE,SWX,NONE,O10T15M,2015,
FRA,discards,7E,OTTER,SWO,NONE,O15M,2015,
FRA,discards,7E,3B,SSG,NONE,U10M,2015,
FRA,discards,7E,3B,SSB,NONE,O10T15M,2015,
FRA,discards,7E,3B,SRX,NONE,O10T15M,2015,
FRA,discards,7E,POTS,SRG,NONE,U10M,2015,
FRA,discards,7E,PEL_TRAWL,SRG,NONE,O10T15M,2015,
FRA,discards,7E,PEL_SEINE,SRG,NONE,O15M,2015,
FRA,discards,7E,PEL_SEINE,SRG,NONE,O10T15M,2015,
FRA,discards,7E,OTTER,SRG,NONE,O15M,2015,
FRA,discards,7E,OTTER,SRG,NONE,O10T15M,2015,
FRA,discards,7E,NONE,SRG,NONE,U10M,2015,
FRA,discards,7E,LONGLINE,SRG,NONE,U10M,2015,
FRA,discards,7E,LONGLINE,SRG,NONE,O10T15M,2015,
FRA,discards,7E,3B,SRG,NONE,U10M,2015,
FRA,discards,7E,3B,SRG,NONE,O10T15M,2015,
FRA,discards,7E,OTTER,SQY,NONE,O10T15M,2015,
FRA,discards,7E,TRAMMEL,SQU,NONE,O10T15M,2015,
FRA,discards,7E,POTS,SQU,NONE,U10M,2015,
FRA,discards,7E,POTS,SQU,NONE,O10T15M,2015,
FRA,discards,7E,PEL_TRAWL,SQU,NONE,U10M,2015,
FRA,discards,7E,PEL_TRAWL,SQU,NONE,O15M,2015,
FRA,discards,7E,PEL_TRAWL,SQU,NONE,O10T15M,2015,
FRA,discards,7E,PEL_SEINE,SQU,NONE,O15M,2015,
FRA,discards,7E,OTTER,SQU,NONE,U10M,2015,
FRA,discards,7E,OTTER,SQU,NONE,O15M,2015,
FRA,discards,7E,OTTER,SQU,NONE,O10T15M,2015,
FRA,discards,7E,LONGLINE,SQU,NONE,U10M,2015,
FRA,discards,7E,LONGLINE,SQU,NONE,O10T15M,2015,
FRA,discards,7E,GILL,SQU,NONE,U10M,2015,
FRA,discards,7E,GILL,SQU,NONE,O10T15M,2015,
FRA,discards,7E,DREDGE,SQU,NONE,U10M,2015,
FRA,discards,7E,DREDGE,SQU,NONE,O15M,2015,
FRA,discards,7E,DREDGE,SQU,NONE,O10T15M,2015,
FRA,discards,7E,DEM_SEINE,SQU,NONE,O15M,2015,
FRA,discards,7E,3B,SQU,NONE,U10M,2015,
FRA,discards,7E,3B,SQU,NONE,O10T15M,2015,
FRA,discards,7E,3A,SQU,NONE,O15M,2015,
FRA,discards,7E,3A,SQU,NONE,O10T15M,2015,
IRL,discards,7E,OTTER,SQS,NONE,O15M,2015,
NLD,discards,7E,DEM_SEINE,SQS,NONE,O15M,2015,
NLD,discards,7E,PEL_TRAWL,SQR,NONE,O15M,2015,
NLD,discards,7E,DEM_SEINE,SQR,NONE,O15M,2015,
ENG,discards,7E,OTTER,SQE,NONE,O10T15M,2015,
ENG,discards,7E,POTS,SQC,NONE,U10M,2015,
ENG,discards,7E,POTS,SQC,NONE,O10T15M,2015,
ENG,discards,7E,PEL_TRAWL,SQC,NONE,O10T15M,2015,
NIR,discards,7E,OTTER,SQC,NONE,U10M,2015,0
ENG,discards,7E,OTTER,SQC,NONE,U10M,2015,0.299
SCO,discards,7E,OTTER,SQC,NONE,O15M,2015,0.152
GBJ,discards,7E,OTTER,SQC,NONE,O15M,2015,0.005
ENG,discards,7E,OTTER,SQC,NONE,O15M,2015,0.002
BEL,discards,7E,OTTER,SQC,NONE,O15M,2015,0.003
GBG,discards,7E,OTTER,SQC,NONE,O10T15M,2015,0.002
ENG,discards,7E,OTTER,SQC,NONE,O10T15M,2015,0.798
ENG,discards,7E,LONGLINE,SQC,NONE,U10M,2015,
ENG,discards,7E,LONGLINE,SQC,NONE,O10T15M,2015,
ENG,discards,7E,GILL,SQC,NONE,U10M,2015,
ENG,discards,7E,DREDGE,SQC,NONE,U10M,2015,
ENG,discards,7E,DREDGE,SQC,NONE,O15M,2015,
ENG,discards,7E,DREDGE,SQC,NONE,O10T15M,2015,
IRL,discards,7E,DEM_SEINE,SQC,NONE,O15M,2015,
ENG,discards,7E,DEM_SEINE,SQC,NONE,O15M,2015,
BEL,discards,7E,DEM_SEINE,SQC,NONE,O15M,2015,
ENG,discards,7E,BEAM,SQC,NONE,U10M,2015,
ENG,discards,7E,BEAM,SQC,NONE,O15M,2015,
ENG,discards,7E,3B,SQC,NONE,U10M,2015,
ENG,discards,7E,3B,SQC,NONE,O10T15M,2015,
ENG,discards,7E,3A,SQC,NONE,O15M,2015,4.453
BEL,discards,7E,3A,SQC,NONE,O15M,2015,0.329
ENG,discards,7E,3A,SQC,NONE,O10T15M,2015,0.022
FRA,discards,7E,LONGLINE,SPU,NONE,U10M,2015,
FRA,discards,7E,LONGLINE,SPU,NONE,O10T15M,2015,
FRA,discards,7E,3B,SPU,NONE,U10M,2015,
FRA,discards,7E,3B,SPU,NONE,O10T15M,2015,
ENG,discards,7E,PEL_TRAWL,SPR,NONE,U10M,2015,
NLD,discards,7E,PEL_TRAWL,SPR,NONE,O15M,2015,
ENG,discards,7E,PEL_TRAWL,SPR,NONE,O15M,2015,
ENG,discards,7E,PEL_TRAWL,SPR,NONE,O10T15M,2015,
ENG,discards,7E,OTTER,SPR,NONE,O10T15M,2015,4.576
ENG,discards,7E,3B,SPR,NONE,U10M,2015,
ENG,discards,7E,3B,SPR,NONE,O10T15M,2015,
ENG,discards,7E,3A,SPR,NONE,O15M,2015,0.308
FRA,discards,7E,TRAMMEL,SOS,NONE,U10M,2015,
FRA,discards,7E,TRAMMEL,SOS,NONE,O10T15M,2015,
FRA,discards,7E,POTS,SOS,NONE,U10M,2015,
FRA,discards,7E,POTS,SOS,NONE,O10T15M,2015,
ENG,discards,7E,POTS,SOS,NONE,O10T15M,2015,
FRA,discards,7E,PEL_TRAWL,SOS,NONE,O15M,2015,
FRA,discards,7E,PEL_SEINE,SOS,NONE,O15M,2015,
FRA,discards,7E,OTTER,SOS,NONE,U10M,2015,
ENG,discards,7E,OTTER,SOS,NONE,U10M,2015,
SCO,discards,7E,OTTER,SOS,NONE,O15M,2015,
GBJ,discards,7E,OTTER,SOS,NONE,O15M,2015,
FRA,discards,7E,OTTER,SOS,NONE,O15M,2015,
ENG,discards,7E,OTTER,SOS,NONE,O15M,2015,
BEL,discards,7E,OTTER,SOS,NONE,O15M,2015,
GBG,discards,7E,OTTER,SOS,NONE,O10T15M,2015,
FRA,discards,7E,OTTER,SOS,NONE,O10T15M,2015,
ENG,discards,7E,OTTER,SOS,NONE,O10T15M,2015,
FRA,discards,7E,NONE,SOS,NONE,U10M,2015,
FRA,discards,7E,LONGLINE,SOS,NONE,U10M,2015,
