country,Measure Names,reg_area_cod,reg_gear_cod,species,specon,vessel length,year,Measure Values
FRA,discards,8B-BOB,TRAMMEL,WEG,SBCIIIART5,O10T15M,2015,
FRA,discards,8B-BOB,TRAMMEL,WEG,NONE,U10M,2015,
FRA,discards,8B-BOB,TRAMMEL,WEG,NONE,O15M,2015,
FRA,discards,8B-BOB,TRAMMEL,WEG,NONE,O10T15M,2015,
FRA,discards,8B-BOB,POTS,WEG,SBCIIIART5,O10T15M,2015,
FRA,discards,8B-BOB,PEL_TRAWL,WEG,SBCIIIART5,O15M,2015,
FRA,discards,8B-BOB,PEL_TRAWL,WEG,SBCIIIART5,O10T15M,2015,
FRA,discards,8B-BOB,PEL_TRAWL,WEG,NONE,O15M,2015,
FRA,discards,8B-BOB,PEL_SEINE,WEG,NONE,O15M,2015,
FRA,discards,8B-BOB,PEL_SEINE,WEG,NONE,O10T15M,2015,
FRA,discards,8B-BOB,OTTER,WEG,SBCIIIART5,O15M,2015,
FRA,discards,8B-BOB,OTTER,WEG,SBCIIIART5,O10T15M,2015,
FRA,discards,8B-BOB,OTTER,WEG,NONE,O15M,2015,
FRA,discards,8B-BOB,OTTER,WEG,NONE,O10T15M,2015,
FRA,discards,8B-BOB,LONGLINE,WEG,SBCIIIART5,U10M,2015,
FRA,discards,8B-BOB,LONGLINE,WEG,SBCIIIART5,O10T15M,2015,
FRA,discards,8B-BOB,LONGLINE,WEG,NONE,U10M,2015,
FRA,discards,8B-BOB,LONGLINE,WEG,NONE,O10T15M,2015,
FRA,discards,8B-BOB,GILL,WEG,SBCIIIART5,U10M,2015,
FRA,discards,8B-BOB,GILL,WEG,SBCIIIART5,O15M,2015,
FRA,discards,8B-BOB,GILL,WEG,SBCIIIART5,O10T15M,2015,
FRA,discards,8B-BOB,GILL,WEG,NONE,U10M,2015,
ESP,discards,8B-BOB,GILL,WEG,NONE,O15M,2015,
FRA,discards,8B-BOB,GILL,WEG,NONE,O10T15M,2015,
FRA,discards,8B-BOB,DEM_SEINE,WEG,SBCIIIART5,O15M,2015,
FRA,discards,8B-BOB,DEM_SEINE,WEG,NONE,O15M,2015,
BEL,discards,8B-BOB,BEAM,WEG,SBCIIIART5,O15M,2015,3.669177
FRA,discards,8A-BOB,TRAMMEL,WEG,SBCIIIART5,O15M,2015,
FRA,discards,8A-BOB,TRAMMEL,WEG,SBCIIIART5,O10T15M,2015,
FRA,discards,8A-BOB,TRAMMEL,WEG,NONE,O15M,2015,
FRA,discards,8A-BOB,PEL_TRAWL,WEG,SBCIIIART5,O15M,2015,
FRA,discards,8A-BOB,PEL_TRAWL,WEG,SBCIIIART5,O10T15M,2015,
FRA,discards,8A-BOB,PEL_TRAWL,WEG,NONE,O15M,2015,
FRA,discards,8A-BOB,PEL_TRAWL,WEG,NONE,O10T15M,2015,
FRA,discards,8A-BOB,OTTER,WEG,SBCIIIART5,O15M,2015,
BEL,discards,8A-BOB,OTTER,WEG,SBCIIIART5,O15M,2015,
FRA,discards,8A-BOB,OTTER,WEG,SBCIIIART5,O10T15M,2015,
FRA,discards,8A-BOB,OTTER,WEG,NONE,U10M,2015,
FRA,discards,8A-BOB,OTTER,WEG,NONE,O15M,2015,
FRA,discards,8A-BOB,OTTER,WEG,NONE,O10T15M,2015,
FRA,discards,8A-BOB,LONGLINE,WEG,SBCIIIART5,U10M,2015,
FRA,discards,8A-BOB,LONGLINE,WEG,SBCIIIART5,O10T15M,2015,
FRA,discards,8A-BOB,LONGLINE,WEG,NONE,U10M,2015,
FRA,discards,8A-BOB,LONGLINE,WEG,NONE,O10T15M,2015,
FRA,discards,8A-BOB,GILL,WEG,SBCIIIART5,O15M,2015,
FRA,discards,8A-BOB,GILL,WEG,SBCIIIART5,O10T15M,2015,
FRA,discards,8A-BOB,DEM_SEINE,WEG,SBCIIIART5,O15M,2015,
FRA,discards,8A-BOB,DEM_SEINE,WEG,NONE,O15M,2015,
BEL,discards,8A-BOB,BEAM,WEG,SBCIIIART5,O15M,2015,
FRA,discards,8B-BOB,TRAMMEL,VSC,NONE,U10M,2015,
FRA,discards,8B-BOB,POTS,VSC,NONE,U10M,2015,
FRA,discards,8B-BOB,DREDGE,VSC,NONE,U10M,2015,
FRA,discards,8A-BOB,OTTER,VSC,SBCIIIART5,O15M,2015,
FRA,discards,8A-BOB,OTTER,VSC,NONE,U10M,2015,
FRA,discards,8A-BOB,OTTER,VSC,NONE,O10T15M,2015,
FRA,discards,8A-BOB,LONGLINE,VSC,NONE,O10T15M,2015,
FRA,discards,8A-BOB,DREDGE,VSC,NONE,U10M,2015,
FRA,discards,8B-BOB,TRAMMEL,VLO,SBCIIIART5,O15M,2015,
FRA,discards,8B-BOB,TRAMMEL,VLO,SBCIIIART5,O10T15M,2015,
FRA,discards,8B-BOB,TRAMMEL,VLO,NONE,O15M,2015,
FRA,discards,8B-BOB,TRAMMEL,VLO,NONE,O10T15M,2015,
FRA,discards,8B-BOB,POTS,VLO,SBCIIIART5,O15M,2015,
FRA,discards,8B-BOB,POTS,VLO,SBCIIIART5,O10T15M,2015,
FRA,discards,8B-BOB,OTTER,VLO,SBCIIIART5,O15M,2015,
FRA,discards,8B-BOB,OTTER,VLO,SBCIIIART5,O10T15M,2015,
FRA,discards,8B-BOB,OTTER,VLO,NONE,O15M,2015,
FRA,discards,8B-BOB,OTTER,VLO,NONE,O10T15M,2015,
FRA,discards,8B-BOB,LONGLINE,VLO,SBCIIIART5,O10T15M,2015,
FRA,discards,8B-BOB,LONGLINE,VLO,NONE,U10M,2015,
FRA,discards,8B-BOB,LONGLINE,VLO,NONE,O10T15M,2015,
FRA,discards,8B-BOB,GILL,VLO,SBCIIIART5,O15M,2015,
FRA,discards,8B-BOB,GILL,VLO,SBCIIIART5,O10T15M,2015,
FRA,discards,8B-BOB,GILL,VLO,NONE,U10M,2015,
FRA,discards,8B-BOB,GILL,VLO,NONE,O10T15M,2015,
FRA,discards,8B-BOB,DEM_SEINE,VLO,SBCIIIART5,O15M,2015,
FRA,discards,8A-BOB,TRAMMEL,VLO,SBCIIIART5,U10M,2015,
FRA,discards,8A-BOB,TRAMMEL,VLO,SBCIIIART5,O15M,2015,
FRA,discards,8A-BOB,TRAMMEL,VLO,SBCIIIART5,O10T15M,2015,
FRA,discards,8A-BOB,TRAMMEL,VLO,NONE,U10M,2015,
FRA,discards,8A-BOB,TRAMMEL,VLO,NONE,O15M,2015,
FRA,discards,8A-BOB,TRAMMEL,VLO,NONE,O10T15M,2015,
FRA,discards,8A-BOB,POTS,VLO,SBCIIIART5,O15M,2015,
FRA,discards,8A-BOB,POTS,VLO,SBCIIIART5,O10T15M,2015,
FRA,discards,8A-BOB,POTS,VLO,NONE,U10M,2015,
FRA,discards,8A-BOB,POTS,VLO,NONE,O15M,2015,
FRA,discards,8A-BOB,POTS,VLO,NONE,O10T15M,2015,
FRA,discards,8A-BOB,PEL_TRAWL,VLO,NONE,O15M,2015,
FRA,discards,8A-BOB,OTTER,VLO,SBCIIIART5,O15M,2015,
FRA,discards,8A-BOB,OTTER,VLO,SBCIIIART5,O10T15M,2015,
FRA,discards,8A-BOB,OTTER,VLO,NONE,U10M,2015,
FRA,discards,8A-BOB,OTTER,VLO,NONE,O15M,2015,
FRA,discards,8A-BOB,OTTER,VLO,NONE,O10T15M,2015,
FRA,discards,8A-BOB,LONGLINE,VLO,SBCIIIART5,U10M,2015,
FRA,discards,8A-BOB,GILL,VLO,SBCIIIART5,O15M,2015,
FRA,discards,8A-BOB,GILL,VLO,SBCIIIART5,O10T15M,2015,
FRA,discards,8A-BOB,GILL,VLO,NONE,U10M,2015,
FRA,discards,8A-BOB,GILL,VLO,NONE,O15M,2015,
FRA,discards,8A-BOB,GILL,VLO,NONE,O10T15M,2015,
FRA,discards,8B-BOB,OTTER,VEV,SBCIIIART5,O15M,2015,
FRA,discards,8B-BOB,OTTER,VEV,SBCIIIART5,O10T15M,2015,
FRA,discards,8A-BOB,TRAMMEL,VEV,NONE,U10M,2015,
FRA,discards,8A-BOB,OTTER,VEV,SBCIIIART5,O15M,2015,
FRA,discards,8A-BOB,OTTER,VEV,SBCIIIART5,O10T15M,2015,
FRA,discards,8A-BOB,OTTER,VEV,NONE,O10T15M,2015,
FRA,discards,8A-BOB,DREDGE,VEV,NONE,U10M,2015,
FRA,discards,8A-BOB,OTTER,USK,NONE,O15M,2015,
FRA,discards,8B-BOB,TRAMMEL,USB,SBCIIIART5,U10M,2015,
FRA,discards,8B-BOB,TRAMMEL,USB,SBCIIIART5,O15M,2015,
FRA,discards,8B-BOB,TRAMMEL,USB,SBCIIIART5,O10T15M,2015,
FRA,discards,8B-BOB,TRAMMEL,USB,NONE,U10M,2015,
FRA,discards,8B-BOB,TRAMMEL,USB,NONE,O15M,2015,
FRA,discards,8B-BOB,TRAMMEL,USB,NONE,O10T15M,2015,
FRA,discards,8B-BOB,POTS,USB,SBCIIIART5,O15M,2015,
FRA,discards,8B-BOB,POTS,USB,SBCIIIART5,O10T15M,2015,
FRA,discards,8B-BOB,POTS,USB,NONE,U10M,2015,
FRA,discards,8B-BOB,POTS,USB,NONE,O10T15M,2015,
FRA,discards,8B-BOB,PEL_TRAWL,USB,SBCIIIART5,O10T15M,2015,
FRA,discards,8B-BOB,OTTER,USB,SBCIIIART5,O15M,2015,
FRA,discards,8B-BOB,OTTER,USB,SBCIIIART5,O10T15M,2015,
FRA,discards,8B-BOB,OTTER,USB,NONE,O15M,2015,
FRA,discards,8B-BOB,OTTER,USB,NONE,O10T15M,2015,
FRA,discards,8B-BOB,NONE,USB,NONE,U10M,2015,
FRA,discards,8B-BOB,LONGLINE,USB,SBCIIIART5,O15M,2015,
FRA,discards,8B-BOB,LONGLINE,USB,SBCIIIART5,O10T15M,2015,
FRA,discards,8B-BOB,LONGLINE,USB,NONE,U10M,2015,
FRA,discards,8B-BOB,LONGLINE,USB,NONE,O10T15M,2015,
FRA,discards,8B-BOB,GILL,USB,SBCIIIART5,U10M,2015,
FRA,discards,8B-BOB,GILL,USB,SBCIIIART5,O15M,2015,
FRA,discards,8B-BOB,GILL,USB,SBCIIIART5,O10T15M,2015,
FRA,discards,8B-BOB,GILL,USB,NONE,U10M,2015,
FRA,discards,8B-BOB,GILL,USB,NONE,O15M,2015,
FRA,discards,8B-BOB,GILL,USB,NONE,O10T15M,2015,
ESP,discards,8B-BOB,GILL,USB,NONE,O10T15M,2015,
FRA,discards,8B-BOB,DEM_SEINE,USB,SBCIIIART5,O15M,2015,
FRA,discards,8A-BOB,TRAMMEL,USB,SBCIIIART5,U10M,2015,
FRA,discards,8A-BOB,TRAMMEL,USB,SBCIIIART5,O15M,2015,
FRA,discards,8A-BOB,TRAMMEL,USB,SBCIIIART5,O10T15M,2015,
FRA,discards,8A-BOB,TRAMMEL,USB,NONE,U10M,2015,
FRA,discards,8A-BOB,TRAMMEL,USB,NONE,O15M,2015,
FRA,discards,8A-BOB,TRAMMEL,USB,NONE,O10T15M,2015,
FRA,discards,8A-BOB,POTS,USB,SBCIIIART5,U10M,2015,
FRA,discards,8A-BOB,POTS,USB,SBCIIIART5,O15M,2015,
FRA,discards,8A-BOB,POTS,USB,SBCIIIART5,O10T15M,2015,
FRA,discards,8A-BOB,POTS,USB,NONE,U10M,2015,
FRA,discards,8A-BOB,POTS,USB,NONE,O10T15M,2015,
FRA,discards,8A-BOB,PEL_TRAWL,USB,SBCIIIART5,O10T15M,2015,
FRA,discards,8A-BOB,PEL_TRAWL,USB,NONE,O15M,2015,
FRA,discards,8A-BOB,PEL_SEINE,USB,NONE,O15M,2015,
FRA,discards,8A-BOB,PEL_SEINE,USB,NONE,O10T15M,2015,
FRA,discards,8A-BOB,OTTER,USB,SBCIIIART5,U10M,2015,
FRA,discards,8A-BOB,OTTER,USB,SBCIIIART5,O15M,2015,
FRA,discards,8A-BOB,OTTER,USB,SBCIIIART5,O10T15M,2015,
FRA,discards,8A-BOB,OTTER,USB,NONE,U10M,2015,
FRA,discards,8A-BOB,OTTER,USB,NONE,O15M,2015,
FRA,discards,8A-BOB,OTTER,USB,NONE,O10T15M,2015,
FRA,discards,8A-BOB,NONE,USB,NONE,U10M,2015,
FRA,discards,8A-BOB,LONGLINE,USB,SBCIIIART5,U10M,2015,
FRA,discards,8A-BOB,LONGLINE,USB,SBCIIIART5,O15M,2015,
FRA,discards,8A-BOB,LONGLINE,USB,SBCIIIART5,O10T15M,2015,
FRA,discards,8A-BOB,LONGLINE,USB,NONE,U10M,2015,
FRA,discards,8A-BOB,LONGLINE,USB,NONE,O10T15M,2015,
FRA,discards,8A-BOB,GILL,USB,SBCIIIART5,U10M,2015,
FRA,discards,8A-BOB,GILL,USB,SBCIIIART5,O15M,2015,
FRA,discards,8A-BOB,GILL,USB,SBCIIIART5,O10T15M,2015,
FRA,discards,8A-BOB,GILL,USB,NONE,U10M,2015,
FRA,discards,8A-BOB,GILL,USB,NONE,O15M,2015,
FRA,discards,8A-BOB,GILL,USB,NONE,O10T15M,2015,
FRA,discards,8A-BOB,DREDGE,USB,NONE,U10M,2015,
FRA,discards,8A-BOB,DREDGE,USB,NONE,O10T15M,2015,
FRA,discards,8A-BOB,DEM_SEINE,USB,SBCIIIART5,O15M,2015,
FRA,discards,8B-BOB,TRAMMEL,URX,SBCIIIART5,O10T15M,2015,
FRA,discards,8B-BOB,TRAMMEL,URX,NONE,U10M,2015,
FRA,discards,8B-BOB,TRAMMEL,URX,NONE,O10T15M,2015,
